true_label,pred_label,pred_proba,error_type
0,0,0.03876123755747574,correct
0,1,0.9999999999219845,false_positive
0,0,0.038652542234086575,correct
0,0,0.038652542234086575,correct
0,0,0.038652542234086575,correct
0,0,0.03823170741962418,correct
0,0,0.03866873280765071,correct
0,0,0.03881082162394919,correct
0,0,0.03866873280765071,correct
0,0,0.038884796040951734,correct
0,0,0.038884796040951734,correct
0,0,0.03875978529596664,correct
0,0,0.03873886159870355,correct
0,0,0.03881082162394919,correct
0,0,0.03855078359564492,correct
0,0,0.03858187897608699,correct
0,0,0.038652542234086575,correct
0,0,0.03823170741962418,correct
0,0,0.038652542234086575,correct
0,0,0.03876123755747574,correct
0,0,0.03875978529596664,correct
0,0,0.038186628626689714,correct
0,0,0.038652542234086575,correct
0,0,0.03823170741962418,correct
0,0,0.038884796040951734,correct
0,1,0.9999999999219845,false_positive
0,0,0.038186628626689714,correct
0,0,0.03858187897608699,correct
0,1,0.9999999999219845,false_positive
0,0,0.03823170741962418,correct
0,0,0.038186628626689714,correct
0,0,0.03869603696793027,correct
0,0,0.03858187897608699,correct
0,0,0.03869603696793027,correct
0,0,0.03869603696793027,correct
0,0,0.03881082162394919,correct
0,0,0.03825557924792248,correct
0,0,0.03858187897608699,correct
0,0,0.03858187897608699,correct
0,0,0.03858187897608699,correct
0,0,0.03875978529596664,correct
0,1,0.8568483762398398,false_positive
0,0,0.038652542234086575,correct
0,0,0.03866873280765071,correct
0,0,0.03855078359564492,correct
0,0,0.03855078359564492,correct
0,0,0.038186628626689714,correct
0,0,0.038639312684601586,correct
0,0,0.038884796040951734,correct
0,0,0.038639312684601586,correct
0,0,0.03866873280765071,correct
0,0,0.03866873280765071,correct
0,0,0.038186628626689714,correct
0,0,0.03866873280765071,correct
0,0,0.03866873280765071,correct
0,0,0.038639312684601586,correct
0,0,0.038186628626689714,correct
0,0,0.038652542234086575,correct
0,0,0.03866873280765071,correct
0,0,0.03876123755747574,correct
0,0,0.038186628626689714,correct
0,0,0.03875978529596664,correct
0,0,0.03875978529596664,correct
