true_label,pred_label,pred_proba,error_type
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,0.9999187223734336,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
0,0,7.604489667180798e-10,correct
1,1,0.99999846446499,correct
1,1,0.9999309976791839,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
0,0,2.6136314377918397e-06,correct
1,1,0.99999846446499,correct
1,1,0.9999187223734336,correct
0,0,8.963328596805641e-15,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
0,0,6.706640602829094e-15,correct
0,0,2.6136314377918397e-06,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,0.99999846446499,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,1.0,correct
0,0,2.6982467470418123e-14,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,0.9999309976791839,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,0.8055518190294003,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,0.9999223944441665,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
0,0,4.22300696613282e-07,correct
1,1,0.9999223944441665,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,0.9999309976791839,correct
1,1,0.9999286386304579,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,0.9999309976791839,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,0.9999223944441665,correct
1,1,0.99999846446499,correct
1,1,0.99999846446499,correct
1,1,0.99999846446499,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,0.9999223944441665,correct
1,1,0.9999309976791839,correct
1,1,0.99999846446499,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,0.8055518190294003,correct
1,0,2.342732116668081e-07,false_negative
1,1,0.99999846446499,correct
1,1,0.9999688154626946,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,0.999992408699583,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,0.9999688154626946,correct
1,1,0.99999846446499,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,0.9999309976791839,correct
1,1,1.0,correct
1,1,0.9999187223734336,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,0.9999688154626946,correct
1,1,1.0,correct
1,1,0.9999688154626946,correct
1,1,0.99999846446499,correct
1,1,0.999992408699583,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,0.999992408699583,correct
1,1,1.0,correct
1,1,0.9999688154626946,correct
1,1,0.9999309976791839,correct
1,1,0.99999846446499,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,0.9999187223734336,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,0.99999846446499,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,0.99999846446499,correct
1,1,0.9999309976791839,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,0.9999309976791839,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,0.9999223944441665,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,0.99999846446499,correct
1,1,1.0,correct
1,1,1.0,correct
